Index,Label,Type,HasShape,Volume_mm3,BoundBox,Visibility
1,AL-SHOULDER,Part::Feature,Yes,6156.37,(29.5×79.0×54.3mm),N/A
2,AL-ELBOW-A,Part::Feature,Yes,3999.55,(54.1×40.4×36.4mm),N/A
3,AL-ELBOW-B,Part::Feature,Yes,2628.00,(45.4×35.5×8.5mm),N/A
4,AL-BASE,Part::Feature,Yes,7399.75,(54.8×72.4×35.6mm),N/A
5,AL-轻量化夹头-活动侧,Part::Feature,Yes,3657.03,(77.9×25.2×39.4mm),N/A
6,AL-轻量化夹头-固定侧,Part::Feature,Yes,3986.82,(103.8×24.0×34.5mm),N/A
7,AL-轻量化夹头-底座,Part::Feature,Yes,3735.82,(46.9×32.8×35.5mm),N/A
8,AL-轻量化底座-A,Part::Feature,Yes,4383.03,(83.0×60.8×1.5mm),N/A
9,AL-舵机型材底座-51105轴承定位片,Part::Feature,Yes,893.03,(25.0×25.0×2.0mm),N/A
10,ZK_122,Part::Feature,Yes,14253.28,(45.2×15.0×24.7mm),N/A
11,SG-ZIJI_15,Part::Feature,Yes,8526.53,(45.1×9.8×24.7mm),N/A
12,XG-ZIJI_16,Part::Feature,Yes,11128.23,(45.2×14.1×24.8mm),N/A
13,MOTOR-1723_3,Part::Feature,Yes,5285.83,(18.5×30.5×18.5mm),N/A
14,PCB-CHAZUO_92,Part::Feature,Yes,1237.99,(28.8×7.2×21.1mm),N/A
15,GE_27,Part::Feature,Yes,825.02,(17.6×18.3×17.6mm),N/A
16,金属舵盘（驱动） v1,Part::Feature,Yes,757.43,(19.2×4.5×19.2mm),N/A
17,金属舵盘（从动） v1,Part::Feature,Yes,566.05,(19.2×3.4×19.2mm),N/A
18,ST3215 v1,App::Part,Yes,42580.33,(45.3×24.8×37.8mm),N/A
19,원점,App::Origin,No,0.00,,N/A
20,X축,App::Line,Yes,0.00,(20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0×0.0mm),N/A
21,Y-축,App::Line,Yes,0.00,(0.0×20000000000000000318057822195198360936721617127890562779562655115495677544340762121626939971713630208.0×0.0mm),N/A
