#{"t_start": 1761135464.4212976, "env_id": "None"}
r,l,t
712.054171,600,1.97084
666.092989,600,3.37029
636.059751,600,4.762825
608.44913,600,6.76263
708.384228,600,8.146799
595.636442,600,9.526115
563.781186,600,11.409218
663.281222,600,12.800267
533.743511,600,14.199823
500.632523,600,15.566192
580.345725,600,17.418137
619.258766,600,18.789166
610.760077,600,20.178906
593.510455,600,22.092402
553.936209,600,23.481668
497.569884,600,24.866569
521.666652,600,26.290803
626.721977,600,28.304807
576.375508,600,29.74369
614.706252,600,31.122045
655.571315,600,33.025738
665.062376,600,34.449344
589.26875,600,35.904359
640.966573,600,37.863897
628.691037,600,39.275448
595.501274,600,40.69834
604.239864,600,42.173118
549.530343,600,44.056923
656.216349,600,45.416428
557.44501,600,46.767716
565.271885,600,48.605812
648.583688,600,49.99112
702.897003,600,51.347118
353.715161,600,52.717939
569.442086,600,54.635458
645.597668,600,55.994768
562.186968,600,57.349035
751.474384,600,59.178028
496.020046,600,60.528318
724.707312,600,61.898048
585.480036,600,63.765865
703.018188,600,65.12292
810.545469,600,66.474921
715.045558,600,67.826259
569.45285,600,69.690141
690.491999,600,71.055901
670.453875,600,72.404936
753.257675,600,74.216688
860.500116,600,75.572745
682.306114,600,76.941041
716.112866,600,78.30415
595.228294,600,80.147435
652.179238,600,81.498953
634.841259,600,82.863045
575.862206,600,84.726418
643.107583,600,86.07387
759.031916,600,87.529973
760.500225,600,88.886887
756.382933,600,90.715576
681.026724,600,92.069458
541.915897,600,93.420239
759.018163,600,95.255208
845.738938,600,96.614268
529.567848,600,97.972893
567.498269,600,99.798609
824.133464,600,101.148755
649.025084,600,102.506916
757.607442,600,103.864052
601.987575,600,105.679074
751.532212,600,107.047086
611.547704,600,108.397858
687.298015,600,110.254622
840.912506,600,111.606535
644.099793,600,112.954928
903.039826,600,114.320795
694.397483,600,116.187998
788.94874,600,117.537354
623.004428,600,118.903508
544.05225,600,120.728207
861.996145,600,122.109447
724.717427,600,123.470714
722.989073,600,125.332611
718.602355,600,126.704846
733.691613,600,128.067417
590.194065,600,129.450052
651.449754,600,131.327815
660.54708,600,132.731851
535.575106,600,134.115137
854.941115,600,136.006753
905.805431,600,137.386977
616.132258,600,138.79827
767.699974,600,140.180726
780.40641,600,142.055883
623.055988,600,143.428376
785.858087,600,144.797946
832.223344,600,146.686838
841.520922,600,148.223023
707.312623,600,149.599406
588.244146,600,151.455094
760.320309,600,152.839424
784.552713,600,154.2212
805.651735,600,155.601286
963.365226,600,157.490002
725.998288,600,158.887127
773.907716,600,160.278434
682.760928,600,162.12702
821.646462,600,163.502958
914.34153,600,164.876133
841.63082,600,166.255864
623.940649,600,168.150606
780.683179,600,169.526283
901.463729,600,170.895215
748.442307,600,172.747426
869.146057,600,174.122246
781.884936,600,175.516478
794.891175,600,176.912157
719.870643,600,178.807755
924.091729,600,180.204213
876.904095,600,181.580343
780.323979,600,183.458415
955.773533,600,184.846506
875.297188,600,186.222999
890.283775,600,188.08029
871.15861,600,189.458809
784.992093,600,190.839946
841.343096,600,192.22111
787.211469,600,194.099982
956.964243,600,195.471803
864.868883,600,196.851718
878.749594,600,198.714882
824.688612,600,200.093215
929.42683,600,201.473254
977.720274,600,202.851291
925.081597,600,204.733753
917.39029,600,206.112811
898.810383,600,207.52246
697.703684,600,209.42813
956.822701,600,210.825797
918.706049,600,212.208697
794.061901,600,214.058556
971.616151,600,215.423301
849.697794,600,216.80705
739.311049,600,218.178121
893.328711,600,220.03484
934.719849,600,221.404175
818.425179,600,222.778832
863.61607,600,224.658629
932.695355,600,226.035913
721.979365,600,227.421213
983.71459,600,228.800433
829.28991,600,230.87463
728.738065,600,232.310649
899.123505,600,233.69959
1012.8333,600,235.592205
820.752532,600,236.987882
827.851684,600,238.39384
978.982123,600,239.867911
929.584244,600,241.84323
709.256263,600,243.295603
1019.027089,600,244.745582
1004.675435,600,246.659057
983.295627,600,248.095824
833.535359,600,249.46669
978.437646,600,251.290413
920.204855,600,252.64893
951.443585,600,254.014705
994.532345,600,255.394753
