#{"t_start": 1760862261.608138, "env_id": "None"}
r,l,t
-483.629133,601,4.487806
-536.372156,601,8.358276
-774.142005,601,12.245552
-643.517776,601,17.19235
-506.919161,601,21.074379
-766.722163,601,24.967089
-795.394095,601,29.800815
-823.760448,601,33.693468
-707.118274,601,37.565136
-1605.028908,601,41.462007
-640.711439,601,46.255245
-615.650382,601,50.115073
-624.695914,601,53.992758
-586.644413,601,58.853194
-672.514059,601,62.734931
-1029.22307,601,66.585202
-516.443844,601,70.457573
-538.864793,601,75.276972
-565.327925,601,79.20673
-525.8533,601,83.118774
-564.404931,601,88.027636
-636.078166,601,92.006713
-681.413542,601,95.966967
-608.551215,601,100.786277
-625.876552,601,104.640384
-471.077354,601,108.645476
-522.978431,601,112.485464
-659.638228,601,117.323866
-607.565634,601,121.192837
-596.997095,601,125.130747
-626.77939,601,129.910954
-563.508555,601,133.831955
-439.907608,601,137.77604
-659.402155,601,141.658436
-276.504834,601,146.503597
-667.642152,601,150.470894
-393.145569,601,154.354094
-618.46922,601,159.181757
-616.581564,601,163.125422
-468.747783,601,167.008347
-507.229802,601,171.818094
-299.045359,601,175.705364
-115.557562,601,179.607268
-373.858412,601,183.481863
-159.252884,601,188.376134
-508.038812,601,192.299175
-117.681699,601,196.171729
-573.031488,601,200.970249
-340.331232,601,204.847967
-456.875408,601,208.691908
-421.915612,601,212.53716
-551.702323,601,217.357072
-167.24402,601,221.291224
-546.974546,601,225.195218
-107.741605,601,230.019083
-489.723649,601,233.956803
-237.723115,601,237.836154
-467.400631,601,242.644909
347.63988,601,246.495485
79.435531,601,250.413234
-550.11042,601,254.265112
37.769006,601,259.104935
-156.025034,601,263.001545
-422.456975,601,266.905058
-459.8017,601,271.733932
317.087747,601,275.62395
201.502658,601,279.496169
326.895811,601,283.481895
-96.138686,601,288.262309
237.35902,601,292.18986
-618.794286,601,296.170281
371.145213,601,301.147903
-384.978084,601,305.125279
-489.17113,601,309.008024
203.883183,601,313.815921
84.60099,601,317.642962
472.769278,601,321.505931
535.289538,601,325.350385
287.506119,601,330.164121
-53.391196,601,334.019966
264.674212,601,337.87597
918.706106,601,342.701909
494.426114,601,346.542018
433.888895,601,350.437406
226.697506,601,354.323912
316.194908,601,359.281663
839.399863,601,363.191946
624.076433,601,367.055352
-166.681704,601,371.914254
68.948065,601,375.790786
235.81796,601,379.680209
33.397377,601,383.59835
762.019719,601,388.371568
442.29036,601,392.228605
-235.320805,601,396.129701
112.840093,601,401.028642
476.547348,601,404.91925
156.326995,601,408.804241
595.071471,601,413.619973
965.681185,601,417.500709
947.533857,601,421.363732
77.374469,601,425.270971
784.660521,601,430.075135
749.493133,601,433.946935
962.861735,601,437.832879
416.970021,601,442.673361
453.596732,601,446.571568
871.157124,601,450.554171
546.509894,601,454.507134
1075.10249,601,459.34093
970.22647,601,463.245793
1088.580037,601,467.081445
1193.272322,601,471.929383
818.146648,601,475.842686
1455.244308,601,479.807981
1065.149673,601,484.648872
1138.416559,601,488.505855
1474.461746,601,492.394001
1109.834517,601,496.265775
1390.770997,601,501.092901
1052.088686,601,504.963908
32.855492,601,508.883597
1404.520319,601,513.671041
1173.823173,601,517.559416
1650.238225,601,521.468096
115.217378,601,525.365881
543.571486,601,530.211551
1162.219636,601,534.068096
1901.420343,601,537.942533
1588.674703,601,542.723719
824.911132,601,546.597593
1566.038156,601,550.459426
1139.511183,601,555.293357
1779.065365,601,559.158764
1589.432364,601,563.010512
1541.580231,601,566.874601
866.183476,601,571.742946
1408.648271,601,575.61164
1620.68491,601,579.469904
1381.783385,601,584.346437
1297.77674,601,588.21818
1555.725402,601,592.123512
1770.09183,601,595.987315
1542.001292,601,600.83993
1828.244094,601,604.713043
1261.74491,601,608.57659
1441.063253,601,613.364378
1670.611818,601,617.235983
27.790422,601,621.115016
2084.109068,601,625.915822
929.061907,601,629.763389
1861.194048,601,633.631915
1917.392398,601,637.50783
1253.209822,601,642.37737
1968.024156,601,646.244889
1925.231718,601,650.140604
1881.036781,601,654.945232
1991.536277,601,658.809907
1663.495221,601,662.669467
1513.660393,601,666.539901
555.722698,601,671.380704
1713.407705,601,675.24507
858.904416,601,679.10333
2011.316282,601,683.907525
1727.115629,601,687.762166
1784.087735,601,691.630706
