#{"t_start": 1760855945.4157827, "env_id": "None"}
r,l,t
-3588.405974,601,4.430645
-2698.889479,601,8.302887
-2397.99422,601,12.151934
-3625.921525,601,16.589802
-2429.260362,601,20.431256
-3111.618035,601,24.298888
-2910.468188,601,28.677641
-2322.123276,601,32.577675
-2920.540229,601,36.480261
-2246.246655,601,40.42501
-3214.846266,601,44.757307
-2453.553427,601,48.575229
-2932.198086,601,52.3977
-3045.010976,601,56.761415
-2331.335507,601,60.588329
-2946.664429,601,64.47
-3139.731495,601,68.422565
-2671.466071,601,72.77034
-2609.839288,601,76.587496
-2857.393449,601,80.399721
-2793.347009,601,84.731279
-2055.554717,601,88.526643
-2996.556473,601,92.331847
-2195.251133,601,96.604191
-2248.037145,601,100.435031
-2570.668979,601,104.262049
-2524.777936,601,108.071173
-2905.059823,601,112.373148
-2776.470409,601,116.251362
-2671.59493,601,120.091114
-2077.729872,601,124.361794
-1005.643272,601,128.18508
-2134.739476,601,132.029562
-2799.499108,601,135.855548
-2739.130563,601,140.136159
-1885.073569,601,143.951354
-2699.825464,601,147.785427
-2806.708648,601,152.067039
-2455.498527,601,155.903894
-1597.873132,601,159.726279
-2294.429547,601,164.020108
-2624.311387,601,167.841942
-1123.114338,601,171.733294
-1749.257549,601,175.563778
-1488.882367,601,179.991154
-1573.164057,601,183.840382
-1840.072301,601,187.698705
-2573.759252,601,191.998779
-698.555724,601,195.943009
-1707.317864,601,199.816429
-1752.800891,601,203.631291
-2063.255024,601,207.905915
-1794.92982,601,211.757255
-453.388113,601,215.58896
1063.643677,601,219.952211
-1707.487115,601,223.795082
586.408765,601,227.617993
263.843657,601,231.931176
-999.915538,601,235.791671
-1281.072553,601,239.667691
-960.175047,601,243.483432
233.390541,601,247.81295
1524.740143,601,251.632027
-195.173835,601,255.472996
-120.384482,601,259.763474
-130.382314,601,263.604586
20.274597,601,267.456349
-981.336327,601,271.319496
-699.261,601,275.614397
-303.480369,601,279.435044
2739.759513,601,283.265861
871.473404,601,287.568768
2491.58223,601,291.418326
1269.82032,601,295.249446
-276.517479,601,299.701309
-575.833612,601,303.524753
-1138.077145,601,307.366174
1151.015328,601,311.214151
1818.519152,601,315.52487
2563.938896,601,319.337492
2035.327223,601,323.187133
1208.442768,601,327.465358
2855.325406,601,331.26634
-79.909295,601,335.075722
400.288903,601,338.880125
1810.858453,601,343.177202
1630.434701,601,347.004923
1364.343462,601,350.819783
3037.300857,601,355.094118
2270.315078,601,359.033239
2155.101786,601,362.840655
2480.797077,601,366.692446
2317.58724,601,370.9886
2081.976956,601,374.841457
1872.872161,601,378.69928
3278.620621,601,382.994933
2023.172727,601,386.844995
1195.236685,601,390.731448
-165.529999,601,395.09161
2385.745982,601,398.982058
311.141369,601,402.88934
2307.92756,601,406.780878
2907.505298,601,411.158567
1532.613459,601,415.050412
2904.341249,601,419.015309
2741.180508,601,423.33827
2316.907273,601,427.234085
3094.26526,601,431.06269
1201.208252,601,434.874948
3060.813537,601,439.164825
2956.549633,601,442.979801
3203.993297,601,446.789858
3093.315941,601,451.058646
2166.943599,601,454.861229
2955.987563,601,458.680571
3285.076002,601,462.943109
1249.858801,601,466.755932
3226.999544,601,470.55901
2955.879123,601,474.377887
3453.63823,601,478.764434
3247.042454,601,482.577597
3568.088086,601,486.419039
3351.249656,601,490.688058
2367.212575,601,494.513794
2727.870893,601,498.333709
2797.62385,601,502.145663
1990.245761,601,506.399259
2835.456127,601,510.220558
55.506871,601,514.057708
3435.083752,601,518.378784
3585.954662,601,522.239943
2846.235405,601,526.077326
3098.823987,601,530.433309
3559.165128,601,534.286882
2899.469795,601,538.196553
3111.511282,601,542.046228
3469.770839,601,546.434366
3430.789288,601,550.315095
1368.07932,601,554.198357
3501.789271,601,558.584789
2980.462398,601,562.467693
3150.705459,601,566.346592
3005.921653,601,570.215542
3518.754774,601,574.542072
3570.992207,601,578.372187
2253.542354,601,582.240982
1597.839823,601,586.522551
3517.41507,601,590.34065
3535.177395,601,594.147782
3121.146891,601,598.455116
933.721817,601,602.286329
3347.438156,601,606.127205
3484.810672,601,609.987758
1776.253559,601,614.294692
3055.110528,601,618.128096
2943.041897,601,622.018357
3503.46095,601,626.396685
3719.216779,601,630.303635
3356.946995,601,634.187695
3072.023971,601,638.063863
2948.639128,601,642.323787
3620.015704,601,646.146056
1891.376931,601,649.945533
2335.451064,601,654.238453
3091.63228,601,658.104254
3566.727823,601,661.914598
