#{"t_start": 1760854655.2513611, "env_id": "None"}
r,l,t
-2811.356956,601,4.375704
-2954.6129,601,8.164328
-2585.242167,601,11.962657
-2858.791041,601,16.353238
-2837.367334,601,20.158463
-3556.319255,601,23.999737
-2516.658063,601,28.329226
-2819.090683,601,32.146651
-2782.281503,601,35.990701
-2868.772171,601,39.804057
-2605.35032,601,44.086565
-2483.674917,601,47.904572
-3254.145866,601,51.688466
-2572.547732,601,55.990625
-3010.736857,601,59.795195
-3090.976782,601,63.598598
-2877.591934,601,67.413491
-2916.358496,601,71.70833
-2764.476911,601,75.52909
-2767.584554,601,79.342543
-2921.845432,601,83.642319
-3071.440107,601,87.561952
-2820.902567,601,91.384952
-2419.627681,601,95.716747
-3013.968628,601,99.511083
-2485.714252,601,103.304637
-2903.344106,601,107.093396
-2866.142041,601,111.337427
-2975.153967,601,115.147723
-2610.465747,601,118.994491
-2816.737619,601,123.262123
-2836.329471,601,127.072223
-2845.842433,601,130.875108
-2678.085153,601,134.704838
-2809.320145,601,138.999536
-3259.310874,601,142.811682
-2885.715102,601,146.693889
-2869.569557,601,151.019289
-2907.513501,601,154.873834
-1993.608239,601,158.710571
-2698.978688,601,163.022358
-2548.282471,601,166.8503
-2654.854005,601,170.659318
-3011.139735,601,174.480775
-3022.633128,601,178.756682
-2832.186434,601,182.576816
-2869.076102,601,186.375408
-2961.41998,601,190.651118
-2800.17641,601,194.557573
-2651.469846,601,198.420838
-2925.018363,601,202.266722
-2627.374625,601,206.722418
-2988.295787,601,210.551588
-3051.579822,601,214.381989
-2825.62809,601,218.68824
-2813.535213,601,222.550121
-3757.986528,601,226.43507
-2612.73237,601,230.84071
-2654.335964,601,234.756467
-2837.496947,601,238.706047
-2781.308431,601,242.642817
-3219.96905,601,247.037923
-2764.548954,601,250.939138
-2809.522503,601,254.757779
-2915.416891,601,259.017102
-2916.471646,601,262.865758
-2713.339159,601,266.71445
-2993.037533,601,270.528202
-2862.904584,601,274.84357
-2915.759256,601,278.663475
-2495.005584,601,282.463645
-2830.961702,601,286.767403
-2710.443528,601,290.56852
-2734.593061,601,294.395138
-2944.904662,601,298.698652
-2849.466209,601,302.515826
-2688.90177,601,306.355953
-2606.388724,601,310.205958
-2782.75564,601,314.494339
-2751.02459,601,318.303399
-2750.301361,601,322.100953
-2877.793465,601,326.435038
-2955.26186,601,330.245921
-2643.6859,601,334.092088
-2607.38589,601,337.921692
