#{"t_start": 1760864359.7664595, "env_id": "None"}
r,l,t
-6.01,601,6.373983
-6.01,601,12.165235
-6.01,601,17.550909
-6.01,601,24.434508
-6.01,601,30.216643
-6.01,601,35.604154
-6.01,601,42.475647
-6.01,601,48.281427
-6.01,601,54.043702
-6.01,601,59.615174
-6.01,601,66.495891
-6.01,601,72.263092
-6.01,601,77.639422
-6.01,601,84.504132
-6.01,601,90.286214
-6.01,601,95.660965
-6.01,601,101.441846
-6.01,601,108.502609
-6.01,601,114.315125
-6.01,601,119.759914
-6.01,601,126.53177
-6.01,601,132.344423
-6.01,601,137.801356
-6.01,601,144.753989
-6.01,601,150.598167
-6.01,601,156.475224
-6.01,601,162.077997
-6.01,601,169.105213
-6.01,601,174.982358
-6.01,601,180.392536
-6.01,601,187.252309
-6.01,601,193.02581
-6.01,601,198.437982
-6.01,601,204.188362
-6.01,601,211.101917
-6.01,601,216.872315
-6.01,601,222.286528
-6.01,601,229.094445
-6.01,601,234.896763
-6.01,601,240.276584
-6.01,601,247.165242
-6.01,601,252.934809
-6.01,601,258.710004
-6.01,601,264.244656
-6.01,601,271.046711
-6.01,601,276.795373
-6.01,601,282.180887
-6.01,601,289.112934
-6.01,601,294.940067
-6.01,601,300.40853
-6.01,601,306.179525
-6.01,601,313.047974
-6.01,601,318.810553
-6.01,601,324.180557
-6.01,601,330.921242
-6.01,601,336.687309
-6.01,601,342.098201
-6.01,601,349.023872
-6.01,601,354.811464
-6.01,601,360.569903
-6.01,601,366.008645
-6.01,601,372.810746
-6.01,601,378.570046
-6.01,601,383.963878
-6.01,601,390.847274
-6.01,601,396.624552
-6.01,601,402.194712
-6.01,601,407.949059
-6.01,601,414.859243
-6.01,601,420.619644
-6.01,601,426.003328
-6.01,601,432.800497
-6.01,601,438.560568
-6.01,601,443.941862
-6.01,601,450.827478
-6.01,601,456.585424
-6.01,601,462.369578
-6.01,601,467.8404
-6.01,601,474.648114
-6.01,601,480.410194
-6.01,601,485.793555
-6.01,601,492.663318
-6.01,601,498.42237
-6.01,601,504.084684
-6.01,601,509.742515
-6.01,601,516.62493
-6.01,601,522.442063
-6.01,601,527.888953
-6.01,601,534.852392
-6.01,601,540.659392
-6.01,601,546.038611
-6.01,601,551.799534
-6.01,601,558.666874
-6.01,601,564.44064
-6.01,601,569.807926
-6.01,601,576.568775
-6.01,601,582.323392
-6.01,601,587.775296
-6.01,601,594.681566
-6.01,601,600.445602
-6.01,601,606.150328
-6.01,601,611.701701
-6.01,601,618.645892
-6.01,601,624.427255
-6.01,601,629.084941
-6.01,601,633.587883
-6.01,601,637.433071
-6.01,601,641.290165
-6.01,601,645.210063
-6.01,601,649.733473
-6.01,601,653.601549
-6.01,601,657.46617
-6.01,601,661.837893
-6.01,601,665.717557
-6.01,601,669.590094
-6.01,601,673.928696
-6.01,601,677.861587
-6.01,601,681.765814
-6.01,601,685.599537
-6.01,601,689.959534
-6.01,601,693.822505
-6.01,601,697.661914
-6.01,601,701.974169
-6.01,601,705.884364
-6.01,601,709.763283
-6.01,601,713.671631
-6.01,601,717.988126
-6.01,601,721.85696
-6.01,601,725.705168
-6.01,601,730.077032
-6.01,601,733.914809
-6.01,601,737.786675
-6.01,601,742.122822
-6.01,601,745.961821
-6.01,601,749.826531
-6.01,601,753.726581
-6.01,601,758.149748
-6.01,601,762.100044
-6.01,601,765.991788
-6.01,601,770.345299
-6.01,601,774.198251
-6.01,601,778.089009
-6.01,601,781.92452
-6.01,601,786.244665
-6.01,601,790.089589
-6.01,601,793.937217
-6.01,601,798.221622
-6.01,601,802.047568
-6.01,601,805.880168
-6.01,601,810.235626
-6.01,601,814.069174
-6.01,601,817.900648
-6.01,601,821.718102
-6.01,601,826.10745
-6.01,601,829.912056
-6.01,601,833.779253
-6.01,601,838.071357
-6.01,601,841.888658
-6.01,601,845.705204
-6.01,601,849.533508
-6.01,601,853.815713
-6.01,601,857.641739
-6.01,601,861.457252
-6.01,601,865.73724
-6.01,601,869.567863
-6.01,601,873.395938
